iter	RMSE
0	12.54225886
1	12.28884889
2	12.01044285
3	11.74397501
4	11.50010295
5	11.27122156
6	11.07706435
7	10.85845401
8	10.74279993
9	10.58879975
10	10.40622667
11	10.21774056
12	10.10053558
13	9.997687494
14	9.81181723
15	9.706835353
16	9.608786709
17	9.455144008
18	9.35605965
19	9.19560359
20	9.036668021
21	8.948602519
22	8.832493327
23	8.747130268
24	8.66678794
25	8.546247936
26	8.43020157
27	8.294935038
28	8.234977631
29	8.121013491
30	8.044884497
31	7.948171897
32	7.873906274
33	7.759793602
34	7.653092621
35	7.556981203
36	7.446925302
37	7.365474174
38	7.259636089
39	7.172431459
40	7.115973798
41	7.06686854
42	7.02975563
43	6.922804975
44	6.83395544
45	6.769586403
46	6.720054914
47	6.659732574
48	6.575749101
49	6.529397346
50	6.499449134
51	6.424920045
52	6.336975675
53	6.255830867
54	6.203958614
55	6.146570894
56	6.098064174
57	6.032455593
58	5.993679458
59	5.933921176
60	5.885186477
61	5.833734012
62	5.784433841
63	5.750092644
64	5.725205986
65	5.674105137
66	5.641564625
67	5.599237001
68	5.579507824
69	5.533972948
70	5.500938431
71	5.481124939
72	5.452207994
73	5.410496403
74	5.357660253
75	5.339740706
76	5.301360564
77	5.272202675
78	5.22106835
79	5.189919591
80	5.141188667
81	5.126226408
82	5.105458565
83	5.085961786
84	5.051141722
85	5.029700868
86	5.015709921
87	4.987385087
88	4.967276218
89	4.941856443
90	4.894447026
91	4.879401422
92	4.843388809
93	4.809123342
94	4.780550053
95	4.761249577
96	4.729087843
97	4.69124858
98	4.664202094
99	4.641083675
100	4.617309801
101	4.598147488
102	4.572831247
103	4.55626054
104	4.539902161
105	4.516158021
106	4.502980775
107	4.480951683
108	4.454169188
109	4.433984741
110	4.399786738
111	4.382719761
112	4.35697744
113	4.345193768
114	4.317368554
115	4.281659569
116	4.256658606
117	4.246053958
118	4.216391406
119	4.210441536
120	4.204340505
121	4.189252267
122	4.172620299
123	4.161027425
124	4.151865612
125	4.132196911
126	4.109204371
127	4.101757849
128	4.070682873
129	4.047862604
130	4.039972795
131	4.032315179
132	4.008957758
133	3.988342353
134	3.979240466
135	3.952125951
136	3.94823281
137	3.937457227
138	3.922403912
139	3.917330716
140	3.904113058
141	3.875612745
142	3.849943907
143	3.831055798
144	3.82433996
145	3.819417107
146	3.804714449
147	3.768559913
148	3.751106922
149	3.743335553
150	3.724892144
151	3.713468156
152	3.69927934
153	3.686843979
154	3.663449204
155	3.652322414
156	3.632685615
157	3.609132833
158	3.593606519
159	3.574939957
160	3.56248322
161	3.546372001
162	3.528341047
163	3.525217348
164	3.507411802
165	3.496439675
166	3.485479255
167	3.480212141
168	3.465314769
169	3.457899161
170	3.432130404
171	3.42719622
172	3.417336347
173	3.401569448
174	3.386201325
175	3.376606687
176	3.37259829
177	3.348184435
178	3.344152904
179	3.328091001
180	3.320121366
181	3.306004836
182	3.301525576
183	3.298138047
184	3.276119128
185	3.265425773
186	3.256716686
187	3.246415977
188	3.226423827
189	3.223083185
190	3.208586438
191	3.184774817
192	3.164282905
193	3.161267332
194	3.15362153
195	3.146027885
196	3.139984699
197	3.122195757
198	3.109792827
199	3.106684669
200	3.097180019
201	3.077799245
202	3.063001866
203	3.043719896
204	3.041066345
205	3.022603377
206	3.013660452
207	3.011119566
208	2.997959068
209	2.985098726
210	2.972602657
211	2.969682533
212	2.950732981
213	2.93497118
214	2.922190847
215	2.90566984
216	2.899366645
217	2.882062943
218	2.871766656
219	2.85371785
220	2.844264839
221	2.834720944
222	2.825653783
223	2.808081915
224	2.798044336
225	2.783246287
226	2.781124796
227	2.770586792
228	2.753948186
229	2.752080468
230	2.740774588
231	2.738728421
232	2.736836515
233	2.721640687
234	2.708911853
235	2.69964032
236	2.684096538
237	2.682154312
238	2.680280487
239	2.674602489
240	2.661414899
241	2.648890097
242	2.633176786
