iter	Passed	Remaining
0	4	4114
1	7	3889
2	12	4198
3	15	3963
4	20	4105
5	24	4138
6	29	4232
7	34	4235
8	37	4147
9	41	4119
10	46	4151
11	49	4096
12	53	4030
13	56	3997
14	61	4045
15	64	3990
16	68	3960
17	72	3942
18	76	3958
19	80	3948
20	84	3942
21	88	3950
22	93	3950
23	96	3921
24	99	3890
25	104	3916
26	108	3894
27	111	3871
28	114	3834
29	117	3795
30	120	3776
31	123	3736
32	126	3693
33	129	3673
34	134	3721
35	137	3672
36	139	3622
37	141	3570
38	142	3522
39	144	3475
40	146	3433
41	149	3420
42	152	3397
43	155	3372
44	158	3368
45	162	3362
46	165	3345
47	168	3337
48	171	3333
49	175	3327
50	178	3328
51	181	3313
52	185	3307
53	188	3299
54	191	3295
55	195	3289
56	198	3276
57	201	3266
58	203	3250
59	208	3260
60	212	3264
61	214	3248
62	217	3228
63	219	3207
64	222	3195
65	224	3180
66	226	3159
67	228	3136
68	232	3134
69	235	3129
70	239	3127
71	241	3118
72	245	3112
73	248	3111
74	252	3109
75	255	3106
76	258	3100
77	262	3101
78	265	3101
79	269	3098
80	271	3079
81	273	3062
82	276	3052
83	278	3040
84	282	3038
85	285	3034
86	288	3029
87	291	3016
88	293	3003
89	295	2990
90	297	2974
91	299	2960
92	302	2950
93	304	2935
94	306	2922
95	308	2906
96	310	2891
97	312	2877
98	314	2864
99	317	2857
100	319	2842
101	321	2829
102	323	2815
103	325	2801
104	327	2787
105	329	2776
106	333	2780
107	335	2773
108	338	2763
109	340	2753
110	342	2746
111	346	2744
112	349	2744
113	352	2736
114	354	2724
115	355	2711
116	357	2700
117	360	2691
118	362	2683
119	364	2674
120	367	2666
121	368	2655
122	370	2643
123	372	2631
124	374	2621
125	377	2618
126	379	2608
127	381	2601
128	383	2592
129	385	2583
130	387	2572
131	389	2563
132	392	2556
133	394	2546
134	396	2542
135	400	2542
136	402	2536
137	405	2529
138	410	2540
139	413	2541
140	416	2536
141	419	2531
142	422	2533
143	425	2526
144	427	2520
145	430	2519
146	433	2518
147	437	2520
148	441	2519
149	444	2519
150	447	2515
151	450	2512
152	454	2518
153	458	2517
154	461	2517
155	465	2516
156	467	2512
157	471	2512
158	474	2511
159	478	2510
160	481	2507
161	484	2506
162	487	2504
163	490	2500
164	492	2493
165	495	2487
166	497	2481
167	500	2478
168	503	2477
169	507	2479
170	511	2479
171	513	2472
172	515	2466
173	518	2462
174	521	2457
175	524	2456
176	527	2452
177	530	2451
178	534	2451
179	537	2448
180	540	2447
181	543	2443
182	547	2442
183	549	2437
184	553	2436
185	556	2435
186	558	2428
187	562	2427
188	564	2423
189	566	2415
190	568	2409
191	570	2402
192	573	2397
193	575	2389
194	577	2384
195	579	2377
196	581	2370
197	583	2364
198	585	2357
199	588	2352
200	590	2346
201	593	2345
202	596	2342
203	599	2337
204	601	2334
205	605	2332
206	607	2327
207	609	2322
208	612	2317
209	615	2314
210	618	2314
211	623	2317
212	626	2314
213	629	2310
214	631	2305
215	634	2301
216	636	2298
217	640	2296
218	643	2295
219	647	2296
220	650	2293
221	653	2291
222	657	2290
223	660	2288
224	663	2285
225	666	2282
226	669	2280
227	673	2279
228	676	2278
229	680	2277
230	683	2275
231	686	2273
232	689	2271
233	693	2270
234	696	2266
235	698	2262
236	701	2258
237	704	2256
238	708	2256
239	712	2255
240	715	2253
241	718	2251
242	722	2250
243	725	2249
244	729	2248
245	733	2246
246	736	2245
247	738	2240
248	741	2236
249	745	2235
250	748	2233
251	752	2232
252	755	2230
253	758	2228
254	761	2226
255	765	2224
256	768	2221
257	771	2219
258	774	2214
259	777	2212
260	780	2208
261	783	2208
262	786	2204
263	789	2200
264	791	2195
265	793	2190
266	795	2184
267	798	2179
268	800	2175
269	802	2170
270	804	2164
271	806	2159
272	809	2154
273	811	2149
274	813	2144
275	816	2140
276	818	2135
277	820	2130
278	823	2128
279	826	2124
280	829	2121
281	832	2118
282	834	2114
283	837	2110
284	840	2109
285	843	2106
286	846	2102
287	848	2097
288	850	2091
289	852	2088
290	854	2082
291	856	2077
292	858	2072
293	861	2069
294	863	2064
295	865	2059
296	867	2054
297	869	2048
298	871	2043
299	873	2039
300	876	2035
301	878	2030
302	880	2025
303	882	2019
304	884	2014
305	886	2009
306	888	2004
307	890	2000
308	893	1997
309	896	1996
310	900	1994
311	903	1992
312	906	1988
313	909	1986
314	912	1984
315	916	1982
316	919	1981
317	922	1978
318	925	1976
319	929	1974
320	932	1972
321	935	1969
322	938	1967
323	942	1965
324	945	1963
325	948	1961
326	951	1958
327	954	1956
328	958	1954
329	961	1952
330	964	1950
331	967	1945
332	971	1944
333	973	1941
334	975	1937
335	978	1933
336	981	1931
337	983	1926
338	985	1921
339	987	1917
340	989	1912
341	991	1907
342	993	1902
343	996	1900
344	998	1896
345	1002	1895
346	1005	1891
347	1008	1889
348	1011	1887
349	1014	1884
350	1017	1881
351	1020	1879
352	1024	1877
353	1028	1876
354	1031	1873
355	1033	1868
356	1035	1864
357	1037	1860
358	1039	1856
359	1042	1853
360	1044	1848
361	1046	1844
362	1048	1840
363	1050	1835
364	1052	1831
365	1054	1827
366	1058	1825
367	1060	1821
368	1063	1817
369	1065	1813
370	1067	1809
371	1069	1805
372	1072	1802
373	1074	1798
374	1076	1794
375	1078	1789
376	1080	1785
377	1082	1780
378	1084	1776
379	1086	1773
380	1088	1769
381	1090	1764
382	1092	1760
383	1095	1757
384	1098	1755
385	1101	1752
386	1104	1749
387	1107	1747
388	1111	1745
389	1114	1743
390	1117	1741
391	1121	1738
392	1124	1736
393	1127	1734
394	1130	1731
395	1133	1728
396	1136	1726
397	1139	1724
398	1143	1722
399	1146	1720
400	1149	1717
401	1152	1715
402	1157	1714
403	1161	1713
404	1164	1710
405	1166	1706
406	1168	1703
407	1171	1699
408	1172	1694
409	1174	1690
410	1177	1686
411	1179	1683
412	1181	1679
413	1183	1675
414	1185	1671
415	1187	1667
416	1190	1664
417	1193	1661
418	1195	1657
419	1198	1655
420	1201	1652
421	1204	1649
422	1208	1647
423	1211	1645
424	1214	1643
425	1218	1641
426	1221	1638
427	1223	1635
428	1226	1632
429	1229	1630
430	1233	1628
431	1236	1626
432	1240	1624
433	1244	1622
434	1246	1619
435	1249	1616
436	1251	1612
437	1254	1610
438	1257	1606
439	1259	1603
440	1261	1599
441	1263	1595
442	1265	1591
443	1267	1587
444	1270	1584
445	1272	1581
446	1274	1577
447	1277	1573
448	1279	1569
449	1281	1566
450	1283	1562
451	1286	1560
452	1289	1557
453	1292	1554
454	1294	1551
455	1298	1549
456	1301	1546
457	1303	1542
458	1305	1538
459	1307	1535
460	1310	1532
461	1312	1528
462	1315	1525
463	1317	1522
464	1320	1518
465	1322	1514
466	1324	1511
467	1326	1507
468	1328	1504
469	1330	1500
470	1332	1496
471	1334	1492
472	1336	1488
473	1338	1485
474	1340	1481
475	1342	1477
476	1346	1476
477	1349	1473
478	1351	1470
479	1354	1467
480	1356	1464
481	1360	1462
482	1362	1458
483	1364	1454
484	1366	1451
485	1380	1460
486	1383	1457
487	1386	1455
488	1393	1456
489	1398	1455
490	1400	1451
491	1403	1448
492	1406	1446
493	1409	1443
494	1411	1440
495	1418	1440
496	1421	1438
497	1423	1435
498	1425	1431
499	1427	1427
500	1429	1424
501	1433	1421
502	1436	1419
503	1439	1416
504	1442	1414
505	1446	1411
506	1449	1408
507	1452	1406
508	1454	1403
509	1457	1400
510	1460	1398
511	1463	1395
512	1467	1392
513	1470	1390
514	1473	1388
515	1477	1385
516	1480	1383
517	1483	1380
518	1485	1377
519	1489	1374
520	1492	1372
521	1496	1369
522	1499	1367
523	1502	1364
524	1505	1362
525	1508	1359
526	1510	1356
527	1513	1352
528	1516	1350
529	1519	1347
530	1522	1344
531	1524	1341
532	1527	1338
533	1529	1335
534	1531	1331
535	1534	1328
536	1537	1325
537	1540	1322
538	1543	1320
539	1545	1316
540	1548	1313
541	1551	1310
542	1553	1307
543	1556	1304
